Item1,Occurrences
citrus fruit,2
tropical fruit,3
pip fruit,4
other vegetables,5
whole milk,6
other vegetables,5
whole milk,6
tropical fruit,3
citrus fruit,2
frankfurter,11
chicken,12
butter,13
butter milk,14
tropical fruit,3
tropical fruit,3
bottled water,17
sausage,18
brown bread,19
yogurt,20
hamburger meat,21
root vegetables,22
pork,23
beef,24
pastry,25
root vegetables,22
citrus fruit,2
sausage,18
tropical fruit,3
berries,30
butter milk,14
pastry,25
root vegetables,22
sausage,18
ham,35
turkey,36
whole milk,6
whole milk,6
packaged fruit/vegetables,39
rolls/buns,40
ham,35
rolls/buns,40
other vegetables,5
sausage,18
sausage,18
frankfurter,11
rolls/buns,40
curd cheese,48
red/blush wine,49
sausage,18
tropical fruit,3
whole milk,6
frankfurter,11
whole milk,6
other vegetables,5
citrus fruit,2
flour,57
sugar,58
frozen meals,59
root vegetables,22
root vegetables,22
herbs,62
sausage,18
coffee,64
pork,23
berries,30
fruit/vegetable juice,67
citrus fruit,2
pork,23
grapes,70
sausage,18
chicken,12
whole milk,6
citrus fruit,2
soda,75
sausage,18
frankfurter,11
sausage,18
rolls/buns,40
beef,24
whole milk,6
tropical fruit,3
frankfurter,11
packaged fruit/vegetables,39
whole milk,6
berries,30
citrus fruit,2
tropical fruit,3
hamburger meat,21
hamburger meat,21
whole milk,6
fish,92
frankfurter,11
packaged fruit/vegetables,39
pastry,25
other vegetables,5
frankfurter,11
sausage,18
frankfurter,11
whole milk,6
berries,30
curd,102
tropical fruit,3
rolls/buns,40
frankfurter,11
other vegetables,5
whole milk,6
citrus fruit,2
frankfurter,11
frankfurter,11
butter milk,14
hamburger meat,21
pasta,113
other vegetables,5
sausage,18
grapes,70
root vegetables,22
coffee,64
whole milk,6
tropical fruit,3
beef,24
whole milk,6
frankfurter,11
tropical fruit,3
finished products,125
beverages,126
hamburger meat,21
whole milk,6
finished products,125
ham,35
curd,102
curd,102
whole milk,6
whole milk,6
dessert,135
sausage,18
other vegetables,5
ham,35
other vegetables,5
other vegetables,5
soda,75
herbs,62
frankfurter,11
rolls/buns,40
curd,102
frankfurter,11
curd,102
frankfurter,11
beef,24
pork,23
frankfurter,11
sausage,18
curd,102
whole milk,6
rolls/buns,40
pork,23
citrus fruit,2
rolls/buns,40
butter,13
condensed milk,160
sausage,18
whole milk,6
sausage,18
beverages,126
bottled water,17
cleaner,166
sausage,18
sausage,18
misc. beverages,169
sausage,18
meat,171
frankfurter,11
ice cream,173
tropical fruit,3
meat,171
whole milk,6
sausage,18
frankfurter,11
meat,171
root vegetables,22
root vegetables,22
whole milk,6
citrus fruit,2
citrus fruit,2
other vegetables,5
citrus fruit,2
sausage,18
frankfurter,11
hard cheese,189
cream cheese ,190
turkey,36
pork,23
whole milk,6
rolls/buns,40
sausage,18
pip fruit,4
root vegetables,22
sausage,18
root vegetables,22
pork,23
pickled vegetables,201
frankfurter,11
tropical fruit,3
meat,171
frankfurter,11
tropical fruit,3
tropical fruit,3
citrus fruit,2
hamburger meat,21
chicken,12
chicken,12
frankfurter,11
turkey,36
packaged fruit/vegetables,39
citrus fruit,2
sausage,18
whole milk,6
citrus fruit,2
citrus fruit,2
chicken,12
hamburger meat,21
sausage,18
beef,24
citrus fruit,2
UHT-milk,225
beef,24
sausage,18
frankfurter,11
onions,229
tropical fruit,3
bottled water,17
beef,24
sausage,18
chicken,12
pork,23
meat,171
other vegetables,5
bottled water,17
tropical fruit,3
sausage,18
grapes,70
domestic eggs,242
rolls/buns,40
tropical fruit,3
frankfurter,11
berries,30
margarine,247
tropical fruit,3
ham,35
hamburger meat,21
yogurt,20
soda,75
sausage,18
citrus fruit,2
frankfurter,11
sausage,18
frankfurter,11
salt,258
curd,102
other vegetables,5
frankfurter,11
root vegetables,22
tropical fruit,3
beef,24
berries,30
whipped/sour cream,266
root vegetables,22
whole milk,6
rolls/buns,40
whole milk,6
citrus fruit,2
pastry,25
frankfurter,11
tropical fruit,3
frankfurter,11
berries,30
rolls/buns,40
root vegetables,22
other vegetables,5
berries,30
berries,30
other vegetables,5
rolls/buns,40
ham,35
whole milk,6
tropical fruit,3
butter milk,14
bottled beer,288
onions,229
hamburger meat,21
sausage,18
hard cheese,189
sausage,18
onions,229
yogurt,20
sausage,18
yogurt,20
domestic eggs,242
meat,171
dish cleaner,300
other vegetables,5
whole milk,6
other vegetables,5
tropical fruit,3
baking powder,305
frankfurter,11
other vegetables,5
citrus fruit,2
sausage,18
domestic eggs,242
pork,23
specialty cheese,312
pork,23
beef,24
other vegetables,5
chicken,12
soda,75
root vegetables,22
berries,30
citrus fruit,2
whole milk,6
soda,75
bottled water,17
tropical fruit,3
bottled water,17
citrus fruit,2
bottled water,17
onions,229
dessert,135
beef,24
rolls/buns,40
beef,24
coffee,64
